740c|je 0x3f8013fb6
488db930000100|lea 0x10030(%rcx),%rdi
4181fe52100000|cmp $0x1052,%r14d
eb20|jmp 0x10041ba3d
488d15f4772f00|lea 0x2f77f4(%rip),%rdx 
49c1e60a|shl $0xa,%r14
488d05fa573501|lea 0x13557fa(%rip),%rax 
7d27|jge 0x1004082c0
488b1d12d10500|mov 0x5d112(%rip),%rbx 
0f8481000000|je 0x3e658454f
488b15147a1300|mov 0x137a14(%rip),%rdx 
48c74424684a00|movq $0x4a,0x68(%rsp)
f2440f100d5079|movsd 0x287950(%rip),%xmm9 
48833d32280000|cmpq $0x0,0x2832(%rip) 
3bb398010000|cmp 0x198(%rbx),%esi
483b0d071d0b00|cmp 0xb1d07(%rip),%rcx 
488d154e3b0f00|lea 0xf3b4e(%rip),%rdx 
49898668ffffff|mov %rax,-0x98(%r14)
4c8d0596320900|lea 0x93296(%rip),%r8 
4983fe7f|cmp $0x7f,%r14
410fb68424e703|movzbl 0x3e7(%r12),%eax
488d1dfac69b00|lea 0x9bc6fa(%rip),%rbx 
4c8b2d94ce0100|mov 0x1ce94(%rip),%r13 
0f8602ffffff|jbe 0x10042a0b0
75cd|jne 0x3fd1e5fc7
e823710100|callq 0x10041be88
488d156bfb0e00|lea 0xefb6b(%rip),%rdx 
41be0080ffff|mov $0xffff8000,%r14d
4c8d48fa|lea -0x6(%rax),%r9
486397dc030000|movslq 0x3dc(%rdi),%rdx
488d15b2770100|lea 0x177b2(%rip),%rdx 
890583ae0000|mov %eax,0xae83(%rip) 
488d05082f2d00|lea 0x2d2f08(%rip),%rax 
440fb6580a|movzbl 0xa(%rax),%r11d
e8361df6ff|callq 0x3e785a220
488b05650b0500|mov 0x50b65(%rip),%rax 
488d0dec940000|lea 0x94ec(%rip),%rcx 
81e740fcffff|and $0xfffffc40,%edi
0fb6b424a20000|movzbl 0xa2(%rsp),%esi
488b0d71340200|mov 0x23471(%rip),%rcx 
e877ffffff|callq 0x3e7097bd0
488d35a2fb0600|lea 0x6fba2(%rip),%rsi 
4c8b2dfd4b0200|mov 0x24bfd(%rip),%r13 
488b0581780500|mov 0x57881(%rip),%rax 
e859550000|callq 0x10065ff30
488d1525c51d00|lea 0x1dc525(%rip),%rdx 
488b15d4e75300|mov 0x53e7d4(%rip),%rdx 
6683bc246c0200|cmpw $0x0,0x26c(%rsp)
488d0532150500|lea 0x51532(%rip),%rax 
488d05a9390400|lea 0x439a9(%rip),%rax 
488d053e610300|lea 0x3613e(%rip),%rax 
bab80c0000|mov $0xcb8,%edx
4c8d1d99faffff|lea -0x567(%rip),%r11 
4c8d0d45edffff|lea -0x12bb(%rip),%r9 
488b9318080000|mov 0x818(%rbx),%rdx
c7442420120200|movl $0x212,0x20(%rsp)
c6055c6a000001|movb $0x1,0x6a5c(%rip) 
488b1d37b00500|mov 0x5b037(%rip),%rbx 
488b3d2a794400|mov 0x44792a(%rip),%rdi 
0f44bc24600100|cmove 0x160(%rsp),%edi
db2de2760300|fldt 0x376e2(%rip) 
488d157c4d3700|lea 0x374d7c(%rip),%rdx 
c7050ca29f0000|movl $0x0,0x9fa20c(%rip) 
c705b8890b0000|movl $0x0,0xb89b8(%rip) 
488d15696b1b00|lea 0x1b6b69(%rip),%rdx 
488d3d1c450600|lea 0x6451c(%rip),%rdi 
4c630d9c135d00|movslq 0x5d139c(%rip),%r9 
440fbf84247e01|movswl 0x17e(%rsp),%r8d
0f87d4040000|ja 0x3fe772bf0
48833d50c00700|cmpq $0x0,0x7c050(%rip) 
488d1522a52a01|lea 0x12aa522(%rip),%rdx 
488b0d11310100|mov 0x13111(%rip),%rcx 
db3d84cd0000|fstpt 0xcd84(%rip) 
488d15d1a70400|lea 0x4a7d1(%rip),%rdx 
488d05d9391000|lea 0x1039d9(%rip),%rax 
488b0508ca1d00|mov 0x1dca08(%rip),%rax 
4c8d05e3c40300|lea 0x3c4e3(%rip),%r8 
e857620f00|callq 0x3e864edb0
0f851eddffff|jne 0x10044bc60
488b05e3bf1a00|mov 0x1abfe3(%rip),%rax 
488d158fb31c00|lea 0x1cb38f(%rip),%rdx 
488d0514100000|lea 0x1014(%rip),%rax 
488d051fa60100|lea 0x1a61f(%rip),%rax 
488b1d972d1000|mov 0x102d97(%rip),%rbx 
f20f1035c7f81a|movsd 0x1af8c7(%rip),%xmm6 
4c8d0501620000|lea 0x6201(%rip),%r8 
488b1ddb5f0000|mov 0x5fdb(%rip),%rbx 
4c8d35b5100500|lea 0x510b5(%rip),%r14 
d80d30f30100|fmuls 0x1f330(%rip) 
488b058b661a00|mov 0x1a668b(%rip),%rax 
8609|xchg %cl,(%rcx)
d80580590300|fadds 0x35980(%rip) 
488d156c860d00|lea 0xd866c(%rip),%rdx 
488d05ae9ba400|lea 0xa49bae(%rip),%rax 
488d0dede7ffff|lea -0x1813(%rip),%rcx 
8b930c130000|mov 0x130c(%rbx),%edx
664183fa7d|cmp $0x7d,%r10w
f20f1025882801|movsd 0x12888(%rip),%xmm4 
488b1567420400|mov 0x44267(%rip),%rdx 
4c8d05d8360700|lea 0x736d8(%rip),%r8 
0f8534feffff|jne 0x3f978d14d
488d0592480000|lea 0x4892(%rip),%rax 
ebde|jmp 0x3f57143a0
488b1de58a0a00|mov 0xa8ae5(%rip),%rbx 
488d15db621200|lea 0x1262db(%rip),%rdx 
448b85b0020000|mov 0x2b0(%rbp),%r8d
49c1cd04|ror $0x4,%r13
483b0d7c5f4500|cmp 0x455f7c(%rip),%rcx 
488d15ad406601|lea 0x16640ad(%rip),%rdx 
488d05e68d0700|lea 0x78de6(%rip),%rax 
eba8|jmp 0x3fb7b1a15
488b05fdbf2200|mov 0x22bffd(%rip),%rax 
e998feffff|jmpq 0x3f44c0b16
c7055cc7000000|movl $0x0,0xc75c(%rip) 
498b81f82b0000|mov 0x2bf8(%r9),%rax
0f8529090000|jne 0x10047235c
488d052595ffff|lea -0x6adb(%rip),%rax 
e972feffff|jmpq 0x1004c0253
488d058bda0a00|lea 0xada8b(%rip),%rax 
db2d93900100|fldt 0x19093(%rip) 
c68424a2000000|movb $0x7,0xa2(%rsp)
488d151b113100|lea 0x31111b(%rip),%rdx 
488d0d020d2f00|lea 0x2f0d02(%rip),%rcx 
3d8a2e1240|cmp $0x40122e8a,%eax
488d0d15d80000|lea 0xd815(%rip),%rcx 
418b46f4|mov -0xc(%r14),%eax
4c8d05c2bf0100|lea 0x1bfc2(%rip),%r8 
4c8b3dcd440700|mov 0x744cd(%rip),%r15 
80bc248c040000|cmpb $0x0,0x48c(%rsp)
0f85ef050000|jne 0x10040ce20
4c8d15d6029200|lea 0x9202d6(%rip),%r10 
c705ebbd8f0000|movl $0x0,0x8fbdeb(%rip) 
4d8bb608020000|mov 0x208(%r14),%r14
4c8d05d8899d00|lea 0x9d89d8(%rip),%r8 
488d0d5e8a0c00|lea 0xc8a5e(%rip),%rcx 
eb02|jmp 0x3f95a1a72
4c8d0d474f0100|lea 0x14f47(%rip),%r9 
488d1547870b00|lea 0xb8747(%rip),%rdx 
81f944010100|cmp $0x10144,%ecx
db2d18ed0200|fldt 0x2ed18(%rip) 
488d15eb5f0b00|lea 0xb5feb(%rip),%rdx 
f20f100de07000|movsd 0x10070e0(%rip),%xmm1 
460fb6541802|movzbl 0x2(%rax,%r11,1),%r10d
498d8e00020000|lea 0x200(%r14),%rcx
488d0538ae0200|lea 0x2ae38(%rip),%rax 
488d0d8fe22500|lea 0x25e28f(%rip),%rcx 
4c8d2d1d130500|lea 0x5131d(%rip),%r13 
66833b25|cmpw $0x25,(%rbx)
664181feff03|cmp $0x3ff,%r14w
0f848bfaffff|je 0x1004f7dd3
db2d1d2e0000|fldt 0x2e1d(%rip) 
488b355a560300|mov 0x3565a(%rip),%rsi 
f20f103545f90f|movsd 0xff945(%rip),%xmm6 
488d0d52530b00|lea 0xb5352(%rip),%rcx 
db2d27bf0000|fldt 0xbf27(%rip) 
e83c1b0000|callq 0x100406180
41398588000000|cmp %eax,0x88(%r13)
488b2d300f2100|mov 0x210f30(%rip),%rbp 
488d0d85c90100|lea 0x1c985(%rip),%rcx 
4a89542908|mov %rdx,0x8(%rcx,%r13,1)
483b0d60782200|cmp 0x227860(%rip),%rcx 
488b359ac32e00|mov 0x2ec39a(%rip),%rsi 
488b97e02b0000|mov 0x2be0(%rdi),%rdx
660f6f05902c03|movdqa 0x32c90(%rip),%xmm0 
e8e8360000|callq 3e6974b10 
488d15fb9e0c00|lea 0xc9efb(%rip),%rdx 
448b8064010000|mov 0x164(%rax),%r8d
ba15100000|mov $0x1015,%edx
488d152ed50b00|lea 0xbd52e(%rip),%rdx 
4c8d3dfade1800|lea 0x18defa(%rip),%r15 
488d1519a07700|lea 0x77a019(%rip),%rdx 
db2db2c40200|fldt 0x2c4b2(%rip) 
ba3fff0000|mov $0xff3f,%edx
f20f5815e0f000|addsd 0xf0e0(%rip),%xmm2 
486bd221|imul $0x21,%rdx,%rdx
488b05449b0b00|mov 0xb9b44(%rip),%rax 
413a341c|cmp (%r12,%rbx,1),%sil
48c705487c1700|movq $0x0,0x177c48(%rip) 
40b50a|mov $0xa,%bpl
488d152be52000|lea 0x20e52b(%rip),%rdx 
48c705b96f8d00|movq $0xb,0x8d6fb9(%rip) 
4c8d8298020000|lea 0x298(%rdx),%r8
e82700dcff|callq 0x100406238
48398c24700300|cmp %rcx,0x370(%rsp)
488d15372a0200|lea 0x22a37(%rip),%rdx 
480f45ac248802|cmovne 0x288(%rsp),%rbp
7412|je 3e59d5783 
db2dcfb80000|fldt 0xb8cf(%rip) 
c4437bf0e819|rorx $0x19,%r8d,%r13d
4c8d1dc69e0000|lea 0x9ec6(%rip),%r11 
888c24d4000000|mov %cl,0xd4(%rsp)
e8a7ce0c00|callq 0x3e864f038
488b0d0c710000|mov 0x710c(%rip),%rcx 
483b0dec7f0300|cmp 0x37fec(%rip),%rcx 
4c8d058a0d0900|lea 0x90d8a(%rip),%r8 
488d15782fa900|lea 0xa92f78(%rip),%rdx 
488d1590520600|lea 0x65290(%rip),%rdx 
488d05245c0b00|lea 0xb5c24(%rip),%rax 
e85dd41900|callq 0x1006650e0
7578|jne 0x1006a97c0
488b87b00a0000|mov 0xab0(%rdi),%rax
488d353e490500|lea 0x5493e(%rip),%rsi 
418b4334|mov 0x34(%r11),%eax
488b05ebff5a00|mov 0x5affeb(%rip),%rax 
488d0d75fb0200|lea 0x2fb75(%rip),%rcx 
488b1559781100|mov 0x117859(%rip),%rdx 
488d05e6f20000|lea 0xf2e6(%rip),%rax 
4c8b0517b40800|mov 0x8b417(%rip),%r8 
48c7054c11fd01|movq $0x0,0x1fd114c(%rip) 
488d05d9a90a00|lea 0xaa9d9(%rip),%rax 
f3450f6f18|movdqu (%r8),%xmm11
488b0df2f70200|mov 0x2f7f2(%rip),%rcx 
4e030428|add (%rax,%r13,1),%r8
4c8db9a8000000|lea 0xa8(%rcx),%r15
41b830070000|mov $0x730,%r8d
488d0dc2af0700|lea 0x7afc2(%rip),%rcx 
488b053cb5a900|mov 0xa9b53c(%rip),%rax 
488d05857e5a01|lea 0x15a7e85(%rip),%rax 
488d15e8f50800|lea 0x8f5e8(%rip),%rdx 
488b0537710600|mov 0x67137(%rip),%rax 
7409|je 0x3f61f29f1
4c89a5e0040000|mov %r12,0x4e0(%rbp)
754a|jne 0x3f4b68216
488d15524eda00|lea 0xda4e52(%rip),%rdx 
488d0500340400|lea 0x43400(%rip),%rax 
4c8b05270d1800|mov 0x180d27(%rip),%r8 
80bba004000000|cmpb $0x0,0x4a0(%rbx)
e8a50c0000|callq 0x3f30e2150
488b0535970600|mov 0x69735(%rip),%rax 
483b0d3bd2ae00|cmp 0xaed23b(%rip),%rcx 
c644242600|movb $0x0,0x26(%rsp)
e8d8e90400|callq 0x3ff27b670
493974fb08|cmp %rsi,0x8(%r11,%rdi,8)
488d159b1c0200|lea 0x21c9b(%rip),%rdx 
75ca|jne 0x3f9b2cabe
488d0deed92c00|lea 0x2cd9ee(%rip),%rcx 
410fb6443fff|movzbl -0x1(%r15,%rdi,1),%eax
488d0512e30500|lea 0x5e312(%rip),%rax 
418bb704010000|mov 0x104(%r15),%esi
f2440f5e155d2c|divsd 0x22c5d(%rip),%xmm10 
488d1568f30900|lea 0x9f368(%rip),%rdx 
488d05e5140500|lea 0x514e5(%rip),%rax 
488d15558e1d00|lea 0x1d8e55(%rip),%rdx 
8b158d222700|mov 0x27228d(%rip),%edx 
75b7|jne 0x100412d40
488d0543b7ea00|lea 0xeab743(%rip),%rax 
488d0dd2220300|lea 0x322d2(%rip),%rcx 
e93cfdffff|jmpq 0x3f59b2438
660f2e05afe602|ucomisd 0x2e6af(%rip),%xmm0 
4c8d05606d2000|lea 0x206d60(%rip),%r8 
488d1585510200|lea 0x25185(%rip),%rdx 
4a8d0456|lea (%rsi,%r10,2),%rax
488d0dc91a0000|lea 0x1ac9(%rip),%rcx 
0f8411010000|je 0x1005eaf40
488d0db20c0100|lea 0x10cb2(%rip),%rcx 
e809f0b4ff|callq 0x3fecec8b0
488905721c0200|mov %rax,0x21c72(%rip) 
c7830804000084|movl $0x84,0x408(%rbx)
488d0d18a41300|lea 0x13a418(%rip),%rcx 
83be1403000002|cmpl $0x2,0x314(%rsi)
f2440f5ee3|divsd %xmm3,%xmm12
44890c82|mov %r9d,(%rdx,%rax,4)
75ed|jne 0x3f52be510
488d0d86990100|lea 0x19986(%rip),%rcx 
488d0d8f3b0100|lea 0x13b8f(%rip),%rcx 
488d0d02d80100|lea 0x1d802(%rip),%rcx 
488d051faced00|lea 0xedac1f(%rip),%rax 
66443b5e0e|cmp 0xe(%rsi),%r11w
488d159eb40000|lea 0xb49e(%rip),%rdx 
488d056cc20200|lea 0x2c26c(%rip),%rax 
ba17020000|mov $0x217,%edx
e981f1ffff|jmpq 0x3fb52af50
488d0d20160600|lea 0x61620(%rip),%rcx 
48c7059ada0800|movq $0x0,0x8da9a(%rip) 
488d15ea641100|lea 0x1164ea(%rip),%rdx 
488905040b0000|mov %rax,0xb04(%rip) 
488d15e2360100|lea 0x136e2(%rip),%rdx 
488d0d4f5f0300|lea 0x35f4f(%rip),%rcx 
7520|jne 0x100404791
e85bfd0200|callq 0x1004536c0
488905c9b19d00|mov %rax,0x9db1c9(%rip) 
f30f100d66e400|movss 0xe466(%rip),%xmm1 
488d153d900600|lea 0x6903d(%rip),%rdx 
0f85b9000000|jne 0x10059b7cc
4c8d05fae20700|lea 0x7e2fa(%rip),%r8 
dc056be90000|faddl 0xe96b(%rip) 
488d05e1c60500|lea 0x5c6e1(%rip),%rax 
e82f240300|callq 0x3f4bba330
81fa19100000|cmp $0x1019,%edx
488d15180b2900|lea 0x290b18(%rip),%rdx 
488d05d8a1c500|lea 0xc5a1d8(%rip),%rax 
0f8f37f6ffff|jg 0x10055e8ae
488d15556d0000|lea 0x6d55(%rip),%rdx 
c4627d583d3f37|vpbroadcastd -0xc8c1(%rip),%ymm15 
488d0515d50500|lea 0x5d515(%rip),%rax 
8b05992f0c00|mov 0xc2f99(%rip),%eax 
48c705404f8d00|movq $0x10,0x8d4f40(%rip) 
7513|jne 0x100415640
483b0db7920700|cmp 0x792b7(%rip),%rcx 
4c8d2dd8a80400|lea 0x4a8d8(%rip),%r13 
488b0d18ab0200|mov 0x2ab18(%rip),%rcx 
803dc7e5d60100|cmpb $0x0,0x1d6e5c7(%rip) 
4c8d0572f40000|lea 0xf472(%rip),%r8 
4c8d0545ae0000|lea 0xae45(%rip),%r8 
488d0d83300000|lea 0x3083(%rip),%rcx 
41038110010000|add 0x110(%r9),%eax
488d15a4ea3a00|lea 0x3aeaa4(%rip),%rdx 
0f84df000000|je 0x3fb954ee2
488905d3280400|mov %rax,0x428d3(%rip) 
4c8d05592c0100|lea 0x12c59(%rip),%r8 
75f1|jne 0x10041d9d0
75e3|jne 0x3f7dd3933
7414|je 0x3fa9d2940
7408|je 0x1005030d6
e8c979f1ff|callq 0x3ff113570
4c8d5b02|lea 0x2(%rbx),%r11
4c893574910300|mov %r14,0x39174(%rip) 
38470e|cmp %al,0xe(%rdi)
4c8d0525aeffff|lea -0x51db(%rip),%r8 
488b0508351e00|mov 0x1e3508(%rip),%rax 
488d0d3ad90000|lea 0xd93a(%rip),%rcx 
488d0d11e01200|lea 0x12e011(%rip),%rcx 
488d0d9f7c0900|lea 0x97c9f(%rip),%rcx 
413a5401ff|cmp -0x1(%r9,%rax,1),%dl
0f84e4000000|je 0x3f4f47ef5
488d0da4a30200|lea 0x2a3a4(%rip),%rcx 
7409|je 0x100438cb2
488b05a4ee0300|mov 0x3eea4(%rip),%rax 
488d0dcdc70a00|lea 0xac7cd(%rip),%rcx 
45898b9c080000|mov %r9d,0x89c(%r11)
4c8d05dc261200|lea 0x1226dc(%rip),%r8 
c7442448000800|movl $0x800,0x48(%rsp)
488d0de86b2100|lea 0x216be8(%rip),%rcx 
488d15c9e3b900|lea 0xb9e3c9(%rip),%rdx 
440fb6430f|movzbl 0xf(%rbx),%r8d
418d9415997982|lea 0x5a827999(%r13,%rdx,1),%edx
48833dda270000|cmpq $0x0,0x27da(%rip) 
478d441403|lea 0x3(%r12,%r10,1),%r8d
e8de1c0f00|callq 0x10063c760
0f84e2e9ffff|je 0x3f40e5785
752c|jne 0x3f2460f32
0f865a030000|jbe 0x3fa22b955
488d0d80350000|lea 0x3580(%rip),%rcx 
488d1524bc0200|lea 0x2bc24(%rip),%rdx 
660f6fbc240001|movdqa 0x100(%rsp),%xmm7
488d05d5941100|lea 0x1194d5(%rip),%rax 
488d1523710100|lea 0x17123(%rip),%rdx 
448d448500|lea 0x0(%rbp,%rax,4),%r8d
448bb5202b0000|mov 0x2b20(%rbp),%r14d
488d15d93e1f00|lea 0x1f3ed9(%rip),%rdx 
483b0520710800|cmp 0x87120(%rip),%rax 
488b05559a0300|mov 0x39a55(%rip),%rax 
488b1d4d1c3000|mov 0x301c4d(%rip),%rbx 
c7053119010001|movl $0x1,0x11931(%rip) 
8b15cb310200|mov 0x231cb(%rip),%edx 
488b2d6f880500|mov 0x5886f(%rip),%rbp 
488d050af60400|lea 0x4f60a(%rip),%rax 
4c8d05b9b62500|lea 0x25b6b9(%rip),%r8 
488b2deb232800|mov 0x2823eb(%rip),%rbp 
db2d1a450000|fldt 0x451a(%rip) 
db2d0e220200|fldt 0x2220e(%rip) 
488d0d2b2c7100|lea 0x712c2b(%rip),%rcx 
e9e6fcffff|jmpq 0x3e6f30a5a
488d0d46ab0f00|lea 0xfab46(%rip),%rcx 
c6842468200000|movb $0x27,0x2068(%rsp)
740b|je 0x3ff1ca4d2
740f|je 0x3e55a2b84
f68424f0050000|testb $0x1,0x5f0(%rsp)
49c74430085000|movq $0x50,0x8(%r8,%rsi,1)
488d151ae41900|lea 0x19e41a(%rip),%rdx 
488d0dbd402200|lea 0x2240bd(%rip),%rcx 
48bd2b6b0ae603|movabs $0x3e60a6b2b,%rbp
4c8d0de1110200|lea 0x211e1(%rip),%r9 
488b05768c4300|mov 0x438c76(%rip),%rax 
488d1580760500|lea 0x57680(%rip),%rdx 
e808e2feff|callq 0x3fc562e50
488d0db3bb0300|lea 0x3bbb3(%rip),%rcx 
488905dbe90600|mov %rax,0x6e9db(%rip) 
488d3ddafb0000|lea 0xfbda(%rip),%rdi 
488d0d86598600|lea 0x865986(%rip),%rcx 
4889b424b82200|mov %rsi,0x22b8(%rsp)
488d0d65030200|lea 0x20365(%rip),%rcx 
0f8fae000000|jg 0x10041c0f0
4c8d0d08fa0200|lea 0x2fa08(%rip),%r9 
66890539078e00|mov %ax,0x8e0739(%rip) 
4d8b9e88000000|mov 0x88(%r14),%r11
488d1512b93200|lea 0x32b912(%rip),%rdx 
48b93e6f0ae603|movabs $0x3e60a6f3e,%rcx
488d0d26dc2100|lea 0x21dc26(%rip),%rcx 
488d0d00bb0900|lea 0x9bb00(%rip),%rcx 
e85744ffff|callq 0x3e5caa030
488915dc660100|mov %rdx,0x166dc(%rip) 
0f85c80a0000|jne 0x100405355
488b0df8681300|mov 0x1368f8(%rip),%rcx 
4983792802|cmpq $0x2,0x28(%r9)
803a6c|cmpb $0x6c,(%rdx)
488b0d91f51000|mov 0x10f591(%rip),%rcx 
488d0d50d51600|lea 0x16d550(%rip),%rcx 
488d3dae8f0600|lea 0x68fae(%rip),%rdi 
488d157ac80200|lea 0x2c87a(%rip),%rdx 
488d1581140d00|lea 0xd1481(%rip),%rdx 
418d4d11|lea 0x11(%r13),%ecx
488b3dcdee0400|mov 0x4eecd(%rip),%rdi 
488d0d64282e00|lea 0x2e2864(%rip),%rcx 
488d1543090d00|lea 0xd0943(%rip),%rdx 
48899424202800|mov %rdx,0x2820(%rsp)
488d1520fe0300|lea 0x3fe20(%rip),%rdx 
db3d5cd90100|fstpt 0x1d95c(%rip) 
e9f7feffff|jmpq 0x3f67429d0
f20f10050ac815|movsd 0x15c80a(%rip),%xmm0 
4c8d0dbf400000|lea 0x40bf(%rip),%r9 
66440f6f9424d0|movdqa 0xd0(%rsp),%xmm10
488d152c6b0900|lea 0x96b2c(%rip),%rdx 
488d157bd29400|lea 0x94d27b(%rip),%rdx 
48c781cc000000|movq $0x0,0xcc(%rcx)
e8414d0b00|callq 0x3f6b57034
488d0d936e0d00|lea 0xd6e93(%rip),%rcx 
f30f1078ec|movss -0x14(%rax),%xmm7
488d1587d30900|lea 0x9d387(%rip),%rdx 
488d1553690a00|lea 0xa6953(%rip),%rdx 
0fbf4bfc|movswl -0x4(%rbx),%ecx
488d05c81c0000|lea 0x1cc8(%rip),%rax 
e81b1346ff|callq 0x3fc15fe00
488d05eef00900|lea 0x9f0ee(%rip),%rax 
488d0db0d70900|lea 0x9d7b0(%rip),%rcx 
488b0de24c0100|mov 0x14ce2(%rip),%rcx 
db2dec570000|fldt 0x57ec(%rip) 
488b0521e90400|mov 0x4e921(%rip),%rax 
488b1df2f52300|mov 0x23f5f2(%rip),%rbx 
488d1505430d00|lea 0xd4305(%rip),%rdx 
488d0578500400|lea 0x45078(%rip),%rax 
488d15a7b42200|lea 0x22b4a7(%rip),%rdx 
488db128040000|lea 0x428(%rcx),%rsi
488b3528bf2200|mov 0x22bf28(%rip),%rsi 
48898424880000|mov %rax,0x88(%rsp)
458b1484|mov (%r12,%rax,4),%r10d
488d05e39b0000|lea 0x9be3(%rip),%rax 
488d15bd00b700|lea 0xb700bd(%rip),%rdx 
488b0d71870400|mov 0x48771(%rip),%rcx 
4c8d0d81ca0000|lea 0xca81(%rip),%r9 
0f859dfeffff|jne 0x3f89df5f7
e8796d0900|callq 0x3f79b45ea
488d1532031300|lea 0x130332(%rip),%rdx 
483b0db0202200|cmp 0x2220b0(%rip),%rcx 
48817b38ffff00|cmpq $0xffff,0x38(%rbx)
488d357ddd9700|lea 0x97dd7d(%rip),%rsi 
483b0d74652700|cmp 0x276574(%rip),%rcx 
0f84aaf5ffff|je 0x100416108
488d15356af700|lea 0xf76a35(%rip),%rdx 
c5f1ef4950|vpxor 0x50(%rcx),%xmm1,%xmm1
8b5340|mov 0x40(%rbx),%edx
488d15d0b90300|lea 0x3b9d0(%rip),%rdx 
4c8d0573f60600|lea 0x6f673(%rip),%r8 
3d3b0a0000|cmp $0xa3b,%eax
483b0d3c500300|cmp 0x3503c(%rip),%rcx 
c7051f3f070000|movl $0x0,0x73f1f(%rip) 
db2d7cc10000|fldt 0xc17c(%rip) 
8b8840050000|mov 0x540(%rax),%ecx
488d0d24b30300|lea 0x3b324(%rip),%rcx 
488d05a4de1200|lea 0x12dea4(%rip),%rax 
f20f101d71ad00|movsd 0xad71(%rip),%xmm3 
488d152d0f9b00|lea 0x9b0f2d(%rip),%rdx 
740a|je 0x3e62e6890
e8f145d3ff|callq 0x3fced58d0
4c8d0d605e0000|lea 0x5e60(%rip),%r9 
e931ffffff|jmpq 0x3f9faa42d
488b05771b0a00|mov 0xa1b77(%rip),%rax 
488d1573561400|lea 0x145673(%rip),%rdx 
66832808|subw $0x8,(%rax)
488d151dafe300|lea 0xe3af1d(%rip),%rdx 
e962fbffff|jmpq 0x3e699c845
0f86b6f6ffff|jbe 0x3e5c46a41
4c8d05e8d40a00|lea 0xad4e8(%rip),%r8 
4983c540|add $0x40,%r13
4c89acf4501400|mov %r13,0x1450(%rsp,%rsi,8)
488d0d2a700100|lea 0x1702a(%rip),%rcx 
48bf6520637573|movabs $0x6d6f747375632065,%rdi
488d0d9eb20500|lea 0x5b29e(%rip),%rcx 
488b2d51341200|mov 0x123451(%rip),%rbp 
ba0b000000|mov $0xb,%edx
488d3da000ffff|lea -0xff60(%rip),%rdi 
488b8ee0020000|mov 0x2e0(%rsi),%rcx
488b0574bd1100|mov 0x11bd74(%rip),%rax 
8b05f01f1500|mov 0x151ff0(%rip),%eax 
75de|jne 0x3e6648ecb
486305a9c90200|movslq 0x2c9a9(%rip),%rax 
488d3d97d30500|lea 0x5d397(%rip),%rdi 
4c8d0df3421b00|lea 0x1b42f3(%rip),%r9 
4c8d0d497b0000|lea 0x7b49(%rip),%r9 
413b19|cmp (%r9),%ebx
4c8d054b440300|lea 0x3444b(%rip),%r8 
483b0d67c40f00|cmp 0xfc467(%rip),%rcx 
25ffffff01|and $0x1ffffff,%eax
488b3dc7a14500|mov 0x45a1c7(%rip),%rdi 
4c8d057b230f00|lea 0xf237b(%rip),%r8 
8b05fa570f00|mov 0xf57fa(%rip),%eax 
488d0553eaef00|lea 0xefea53(%rip),%rax 
488b1512640200|mov 0x26412(%rip),%rdx 
488d1521941500|lea 0x159421(%rip),%rdx 
488b8c24a81900|mov 0x19a8(%rsp),%rcx
4c8d0db4f4ffff|lea -0xb4c(%rip),%r9 
48c705d7d91100|movq $0x0,0x11d9d7(%rip) 
e869e3f9ff|callq 0x1006924d8
48c78424a80800|movq $0x0,0x8a8(%rsp)
488d15ab0f1800|lea 0x180fab(%rip),%rdx 
488d1554650500|lea 0x56554(%rip),%rdx 
48837cdef800|cmpq $0x0,-0x8(%rsi,%rbx,8)
c7025c303000|movl $0x30305c,(%rdx)
e839f0ffff|callq 0x3fc8f1d20
0f8824080000|js 0x10064f25e
e8ed56fbff|callq 0x3f77ebe80
7404|je 0x3fe80d54f
e8d3948cff|callq 0x3fbcedca0
b90c001010|mov $0x1010000c,%ecx
e84989ffff|callq 0x3f3de8fe0
488b05aa863100|mov 0x3186aa(%rip),%rax 
488d153baa0c00|lea 0xcaa3b(%rip),%rdx 
488b15019f0300|mov 0x39f01(%rip),%rdx 
488d353a6f0700|lea 0x76f3a(%rip),%rsi 
488d0d04d0fb00|lea 0xfbd004(%rip),%rcx 
8d9076ffffff|lea -0x8a(%rax),%edx
488d052ff94c01|lea 0x14cf92f(%rip),%rax 
488b1d1f610100|mov 0x1611f(%rip),%rbx 
4983bef8000000|cmpq $0x0,0xf8(%r14)
0f851effffff|jne 0x3fcb072dc
488d0d66070700|lea 0x70766(%rip),%rcx 
48c705231b0d00|movq $0x0,0xd1b23(%rip) 
4883431820|addq $0x20,0x18(%rbx)
83abdc0a000001|subl $0x1,0xadc(%rbx)
c78424b8050000|movl $0x1d,0x5b8(%rsp)
eb9e|jmp 0x3f7bebfaa
0f84cf010000|je 0x1004962e4
7236|jb 0x3f822b6c0
488d052cb9d800|lea 0xd8b92c(%rip),%rax 
488b05725c4f00|mov 0x4f5c72(%rip),%rax 
488b05dd6d0900|mov 0x96ddd(%rip),%rax 
488d0564810600|lea 0x68164(%rip),%rax 
488d0dc06f2200|lea 0x226fc0(%rip),%rcx 
e9fbfeffff|jmpq 0x10049a01d
488d1530860c00|lea 0xc8630(%rip),%rdx 
8b82780c0000|mov 0xc78(%rdx),%eax
488b15c0ac0001|mov 0x100acc0(%rip),%rdx 
488d15c2050d00|lea 0xd05c2(%rip),%rdx 
